univ_name;alias;address;sinta_id;pddikti_code;author_number;dept_number;journal_number;sinta_score_overall;sinta_score_3yr;sinta_score_productivity;sinta_score_productivity_3yr;scopus_docs;scopus_citation;scopus_cited_doc;scopus_citation_per_researchers;gscholar_docs;gscholar_citation;gscholar_cited_doc;gscholar_citation_per_researchers;wos_docs;wos_citation;wos_cited_doc;wos_citation_per_researchers;garuda_docs;garuda_citation;garuda_cited_doc;garuda_citation_per_researchers
Universitas Andalas;UNAND;KOTA PADANG - SUMATERA BARAT, ID;394;1006;1.486;137;38;880633;419035;606;288;4.867;26.289;3.101;15,31;44.233;164289;17.572;95,68;86;382;34;0,22;10.356;286;181;0,17
Politeknik Perkapalan Negeri Surabaya;PPNS;KOTA SURABAYA - JAWA TIMUR, ID;550;5014;168;19;0;21700;7914;137;50;337;1.501;221;7,9;3.287;6606;1.254;34,77;7;70;5;0,37;262;2;2;0,01
Universitas Mercu Buana Yogyakarta;-;KAB. BANTUL - DAERAH ISTIMEWA YOGYAKARTA, ID;1881;51019;143;16;6;23933;6833;140;40;82;252;50;1,22;3.870;13044;1.433;63,01;11;19;7;0,09;414;0;0;0
Universitas Muhammadiyah Purworejo;UMPWR;KAB. PURWOREJO - JAWA TENGAH, ID;51;61025;132;16;8;28433;7333;237;61;92;141;46;1,05;7.183;27430;2.617;204,7;0;0;0;0;954;9;3;0,07
Politeknik Kesehatan Kementerian Kesehatan Surabaya;POLTEKKES KEMENKES SURABAYA;KOTA SURABAYA - JAWA TIMUR, ID;4427;405016;262;22;5;16872;8562;75;38;271;535;120;2,07;5.000;8355;1.302;32,26;6;2;2;0,01;342;0;0;0
Universitas Muhammadiyah Sumatera Barat;UM SUMATERA BARAT;KOTA PADANG - SUMATERA BARAT, ID;2890;101002;193;28;6;18746;9195;111;54;116;857;70;4,14;2.365;6773;839;32,72;13;29;3;0,14;424;0;0;0
STIKES Panti Waluya Malang;-;KOTA MALANG - JAWA TIMUR, ID;2319;73178;31;5;1;10042;6632;456;301;0;0;0;0;2.161;29741;815;959,39;0;0;0;0;110;0;0;0
Universitas Methodist Indonesia;UMI MEDAN;KOTA MEDAN - SUMATERA UTARA, ID;584;11006;176;14;1;21052;8983;141;60;154;429;88;2,28;2.131;7884;828;41,94;6;0;0;0;568;2;1;0,01
Institut Teknologi Bandung;ITB;KOTA BANDUNG - JAWA BARAT, ID;379;2001;1.611;134;17;1551814;458477;1.068;316;21.298;180.992;14.768;117,83;87.068;627962;43.735;408,83;311;2.638;174;1,72;2.678;447;138;0,29
Universitas Nurul Huda;UNUHA;KAB. OGAN KOMERING ULU TIMUR - SUMATERA SELATAN, ID;946;21038;64;10;5;8704;6474;140;104;27;241;17;3,65;595;1796;227;27,21;1;0;0;0;195;3;3;0,05
Sekolah Tinggi Ilmu Kesehatan Stella Maris Makassar;STIK SM;KOTA MAKASSAR - SULAWESI SELATAN, ID;2717;93157;25;3;0;12713;8159;410;263;7;7;3;0,21;188;437;73;12,85;0;0;0;0;86;0;0;0
